ticker	cik
aapl	0000320193
msft	0000789019
brk-b	0001067983
unh	0000731766
jnj	0000200406
v	0001403161
tsm	0001046179
xom	0000034088
wmt	0000104169
spy	0000884394
jpm	0000019617
pg	0000080424
nvda	0001045810
lvmuy	0000824046
ma	0001141391
cvx	0000093410
tsla	0001318605
lly	0000059478
hd	0000354950
bac	0000070858
pfe	0000078003
ko	0000021344
abbv	0001551152
baba	0001577552
nvo	0000353278
pep	0000077476
cost	0000909832
mrk	0000310158
tmo	0000097745
avgo	0001730168
dhr	0000313616
dis	0001744489
tm	0001094517
mcd	0000063908
asml	0000937966
orcl	0001341439
abt	0000001800
csco	0000858877
nvs	0001114448
azn	0000901832
tmus	0001283699
wfc	0000072971
acn	0001467373
vz	0000732712
nee	0000753308
nke	0000320187
ups	0001090727
bmy	0000014272
ms	0000895421
cmcsa	0001166691
crm	0001108524
cop	0001163165
txn	0000097476
adbe	0000796343
pm	0001413329
lin	0001707925
unp	0000100885
qcom	0000804328
ry	0001000275
schw	0000316709
cvs	0000064803
bhp	0000811809
tte	0000879764
low	0000060667
amgn	0000318154
rtx	0000101829
asti	0001350102
hsbc	0001089113
hdb	0001144967
mdt	0001613103
hon	0000773840
td	0000947263
axp	0000004962
t	0000732717
intu	0000896878
intc	0000050863
eqnr	0001140625
ul	0000217410
qqq	0001067839
lmt	0000936468
pypl	0001633917
ibm	0000051143
amt	0001053507
gs	0000886982
de	0000315189
sbux	0000829224
nflx	0001065280
bp	0000313807
sny	0001121404
deo	0000835403
sap	0001000184
cat	0000018230
adp	0000008670
rtntf	0000887028
c	0000831001
ci	0001739940
blk	0001364742
jd	0001549802
amd	0000002488
cslly	0001274152
bti	0001303523
sony	0000313838
rio	0000863064
el	0001001250
ba	0000012927
now	0001373715
pbr	0001119639
pld	0001045609
bud	0001668717
pdd	0001737806
syk	0000310764
enb	0000895728
cni	0000016868
spgi	0000064040
mdlz	0001103982
cb	0000896159
so	0000092122
duk	0001326160
gild	0000882095
ibn	0001103838
bkng	0001075531
abnb	0001559720
mmc	0000062709
tgt	0000027419
amat	0000006951
gsk	0001131399
adi	0000006281
tjx	0000109198
mo	0000764180
bam	0001001085
noc	0001133421
regn	0000872589
infy	0001067491
ge	0000040545
glncy	0001524684
zts	0001555280
isrg	0001035267
eadsy	0001378580
pgr	0000080661
bdx	0000010795
vrtx	0000875320
eog	0000821189
wm	0000823768
pbcry	0001463157
cp	0000016875
idexy	0001438656
cci	0001051470
pnc	0000713676
fisv	0000798354
cme	0001156375
googl	0001652044
usb	0000036104
chtr	0001091667
bx	0001393818
mmm	0000066740
csx	0000277948
mufg	0000067088
bns	0000009631
d	0000715957
hca	0000860730
sftby	0001065521
uber	0001543151
tfc	0000092230
amzn	0001018724
team	0001650372
hum	0000049071
gd	0000040533
cnq	0001017413
cl	0000021665
vale	0000917851
bmo	0000927971
aon	0000315293
dmlry	0001067318
itw	0000049826
oxy	0000797468
snow	0001640147
bsx	0000885725
